name,author,genre,year,language
f1,first,auth,action,2032,Indi
f2,second,auth2,action,2032,Ita
f3,second,auth2,action,2032,Ita
f4,second,auth2,action,2032,Ita
f5,second,auth2,romance,2032,Ita
f6,second,auth2,romance,2032,Ita
f7,second,auth2,romance,2032,Ita
f8,second,auth2,romance,2032,Ita
f9,second,auth2,romance,2030,Ita
f10,second,auth2,romance,2030,Ita
f11,second,auth2,romance,2030,Ita
f12,second,auth2,romance,2030,Ita
f13,second,auth2,documentary,2030,Ita
f14,second,auth2,documentary,2030,Ita
f15,second,auth2,documentary,2030,Ita
f16,second,auth2,documentary,2030,Ita